year,week,observed_rows,filled_rows,longest_synthetic_streak_seconds,status
2025,21,573328,31472,7324,skipped_quality
2025,22,583649,21151,6507,skipped_quality
2025,23,603109,1691,1588,saved
2025,24,602507,2293,1686,saved
2025,25,604735,65,54,saved
2025,26,604002,798,607,saved
2025,27,602943,1857,949,saved
2025,28,602579,2221,1076,saved
2025,29,604406,394,297,saved
2025,30,604696,104,76,saved
2025,31,603611,1189,865,saved
2025,32,580967,23833,2401,skipped_quality
2025,33,598037,6763,2162,skipped_quality
2025,34,604742,58,54,saved
2025,35,603470,1330,675,saved
2025,36,603506,1294,622,saved
2025,37,599408,5392,3230,skipped_quality
2025,38,601323,3477,1054,saved
2025,39,604470,330,200,saved
2025,40,603358,1442,822,saved
2025,41,603611,1189,1181,saved
2025,42,603179,1621,763,saved
2025,43,602340,6060,3600,skipped_quality
2025,44,604726,74,54,saved
2025,45,604771,29,9,saved
2025,46,604348,452,413,saved
2025,47,604719,81,54,saved
2025,48,604782,18,13,saved
2025,49,604763,37,12,saved
2025,50,604372,428,426,saved
2025,51,604682,118,54,saved
2025,52,604790,10,6,saved
2026,1,255599,349201,349200,skipped_quality
